Satisfaction Score,Schedule Pacing,Timestamp,Track,Year,location,week
10,3.0,6/24/2016 13:27:52,Apps,2016,SF,1
10,3.0,6/24/2016 13:38:21,Apps,2016,SF,1
10,3.0,6/24/2016 13:38:29,Apps,2016,SF,1
10,3.0,6/24/2016 14:01:31,Apps,2016,SF,1
10,3.0,6/24/2016 15:38:31,Apps,2016,SF,1
10,4.0,6/23/2016 13:19:41,Apps,2016,SF,1
10,4.0,6/23/2016 13:19:58,Apps,2016,SF,1
10,4.0,6/24/2016 9:50:59,Apps,2016,SF,1
10,4.0,6/24/2016 9:51:08,Apps,2016,SF,1
10,4.0,6/24/2016 11:05:49,Apps,2016,SF,1
10,4.0,6/24/2016 13:34:12,Apps,2016,SF,1
10,4.0,6/24/2016 15:38:21,Apps,2016,SF,1
10,4.0,6/24/2016 16:23:30,Apps,2016,SF,1
10,3.0,6/25/2016 19:10:35,Apps,2016,SF,1
10,3.0,6/25/2016 21:41:09,Apps,2016,SF,1
8,3.0,6/24/2016 13:34:08,Games,2016,SF,1
8,3.0,6/24/2016 13:36:37,Games,2016,SF,1
8,4.0,6/24/2016 13:39:47,Games,2016,SF,1
10,3.0,6/24/2016 13:32:17,Games,2016,SF,1
10,3.0,6/24/2016 13:34:38,Games,2016,SF,1
10,3.0,6/24/2016 13:35:43,Games,2016,SF,1
10,3.0,6/24/2016 13:36:49,Games,2016,SF,1
10,3.0,6/24/2016 14:11:08,Games,2016,SF,1
10,4.0,6/24/2016 13:35:31,Games,2016,SF,1
10,4.0,6/24/2016 13:45:54,Games,2016,SF,1
6,3.0,6/27/2016 15:01:42,Intro,2016,SF,1
8,3.0,6/24/2016 11:41:34,Intro,2016,SF,1
8,3.0,6/24/2016 11:47:36,Intro,2016,SF,1
8,3.0,6/24/2016 13:36:03,Intro,2016,SF,1
8,3.0,6/24/2016 13:42:02,Intro,2016,SF,1
8,3.0,6/24/2016 13:45:04,Intro,2016,SF,1
8,3.0,6/24/2016 13:47:15,Intro,2016,SF,1
8,4.0,6/24/2016 11:42:30,Intro,2016,SF,1
8,4.0,6/24/2016 12:58:35,Intro,2016,SF,1
8,4.0,6/26/2016 22:45:58,Intro,2016,SF,1
10,2.0,6/24/2016 11:41:47,Intro,2016,SF,1
10,3.0,6/24/2016 11:41:42,Intro,2016,SF,1
10,3.0,6/24/2016 11:53:29,Intro,2016,SF,1
10,3.0,6/24/2016 13:33:35,Intro,2016,SF,1
10,3.0,6/24/2016 13:56:06,Intro,2016,SF,1
10,3.0,6/24/2016 16:19:53,Intro,2016,SF,1
10,4.0,6/24/2016 11:53:20,Intro,2016,SF,1
10,4.0,6/24/2016 14:21:25,Intro,2016,SF,1
10,5.0,6/24/2016 13:20:34,Intro,2016,SF,1
10,5.0,6/24/2016 13:41:56,Intro,2016,SF,1
10,3.0,6/26/2016 23:32:51,Intro,2016,SF,1
6,3.0,6/29/2016 22:39:27,VR,2016,SF,1
10,3.0,6/24/2016 13:30:31,VR,2016,SF,1
10,3.0,6/24/2016 14:41:17,VR,2016,SF,1
10,3.0,6/24/2016 17:29:38,VR,2016,SF,1
8,2.0,6/30/2016 14:09:14,Unknown,2016,LA,2
6,3.0,6/30/2016 22:50:08,Unknown,2016,LA,2
8,4.0,7/1/2016 9:34:16,Unknown,2016,LA,2
8,3.0,7/1/2016 10:42:17,Unknown,2016,LA,2
8,3.0,7/1/2016 11:25:53,Unknown,2016,LA,2
10,3.0,7/1/2016 11:57:11,Unknown,2016,LA,2
10,3.0,7/1/2016 11:58:37,Unknown,2016,LA,2
10,3.0,7/29/2016 1:07:23,Unknown,2016,TP,6
